date,adj_close,close,high,low,open,volume
2016-05-09,729.130005,729.130005,734.289978,723.50,726.700012,1903700
2016-05-10,739.380005,739.380005,740.00,731.609985,734.960022,1631700
2016-05-11,730.549988,730.549988,740.799988,727.900024,740.52002,1491700
2016-05-12,728.070007,728.070007,735.369995,724.27002,732.00,1354700
2016-05-13,724.830017,724.830017,731.289978,723.51001,726.619995,1262200
2016-05-16,730.299988,730.299988,732.679993,720.00,724.320007,1126900
2016-05-17,720.190002,720.190002,735.849976,718.00,731.059998,1670200
2016-05-18,721.780029,721.780029,725.570007,715.02002,718.50,1626800
2016-05-19,715.309998,715.309998,720.50,710.309998,718.299988,1529900
2016-05-20,721.710022,721.710022,727.700012,715.01001,716.460022,1739900
2016-05-23,717.25,717.25,723.50,716.940002,719.97998,1240800
2016-05-24,733.030029,733.030029,734.200012,719.650024,719.849976,1894200
2016-05-25,738.099976,738.099976,739.890015,732.599976,735.00,1610800
2016-05-26,736.929993,736.929993,741.099976,733.00,736.00,1360100
2016-05-27,747.599976,747.599976,747.909973,737.01001,737.51001,1738900
2016-05-31,748.849976,748.849976,753.47998,745.570007,748.76001,2124200
2016-06-01,748.460022,748.460022,751.369995,744.340027,748.469971,1039400
2016-06-02,744.27002,744.27002,747.299988,737.00,746.099976,1695800
2016-06-03,735.859985,735.859985,741.48999,733.909973,741.48999,1230400
2016-06-06,730.059998,730.059998,738.50,728.289978,738.50,1499600
2016-06-07,731.090027,731.090027,736.710022,730.799988,733.27002,1215700
2016-06-08,742.929993,742.929993,743.809998,735.77002,739.50,1615700
2016-06-09,742.52002,742.52002,743.929993,736.50,737.070007,959000
2016-06-10,733.190002,733.190002,739.640015,730.51001,735.950012,1452500
2016-06-13,731.880005,731.880005,739.00,729.820007,729.820007,1167700
2016-06-14,733.25,733.25,736.00,726.50,729.309998,1329200
2016-06-15,732.190002,732.190002,737.150024,731.309998,734.919983,1161700
2016-06-16,724.25,724.25,730.390015,715.539978,727.960022,2250100
2016-06-17,704.25,704.25,721.390015,701.119995,721.390015,4113100
2016-06-20,706.130005,706.130005,715.869995,705.409973,710.309998,2282700
2016-06-21,708.880005,708.880005,715.380005,704.659973,710.049988,1515900
2016-06-22,710.469971,710.469971,714.210022,705.880005,714.049988,1452900
2016-06-23,714.869995,714.869995,714.880005,700.25,710.549988,2125000
2016-06-24,685.200012,685.200012,705.00,684.909973,690.169983,4771800
2016-06-27,681.140015,681.140015,683.330017,672.659973,682.48999,2907300
2016-06-28,691.26001,691.26001,692.73999,684.849976,691.369995,1912300
2016-06-29,695.190002,695.190002,699.50,692.679993,694.26001,2156200
2016-06-30,703.530029,703.530029,703.77002,694.900024,697.650024,2112500
2016-07-01,710.25,710.25,712.530029,703.72998,705.099976,1549200
2016-07-05,704.890015,704.890015,708.119995,699.130005,705.01001,1422000
2016-07-06,708.969971,708.969971,713.00,699.00,699.840027,1445100
2016-07-07,707.26001,707.26001,710.169983,700.669983,710.109985,1058700
2016-07-08,717.780029,717.780029,717.900024,708.109985,710.559998,1497300
2016-07-11,727.200012,727.200012,728.929993,718.869995,719.419983,1441100
2016-07-12,732.51001,732.51001,735.599976,727.50,731.919983,1323400
2016-07-13,729.47998,729.47998,735.52002,729.02002,735.52002,1021800
2016-07-14,735.799988,735.799988,736.140015,730.590027,733.940002,1070400
2016-07-15,735.630005,735.630005,741.00,734.640015,741.00,1617100
2016-07-18,753.200012,753.200012,755.140015,736.51001,737.909973,1934900
2016-07-19,753.409973,753.409973,756.590027,748.48999,749.869995,1521800
2016-07-20,757.080017,757.080017,760.640015,754.049988,754.049988,1125100
2016-07-21,754.409973,754.409973,758.150024,751.52002,757.00,953100
2016-07-22,759.280029,759.280029,759.450012,752.659973,757.320007,1046000
2016-07-25,757.52002,757.52002,759.820007,754.070007,757.679993,1073300
2016-07-26,757.650024,757.650024,759.26001,752.75,757.52002,1189600
2016-07-27,761.969971,761.969971,764.450012,755.929993,758.969971,1608600
2016-07-28,765.840027,765.840027,768.969971,759.090027,768.840027,3673200
2016-07-29,791.340027,791.340027,803.940002,790.00,797.710022,5090500
2016-08-01,800.940002,800.940002,807.48999,785.039978,786.669983,3029700
2016-08-02,800.119995,800.119995,802.320007,794.530029,797.330017,1996400
2016-08-03,798.919983,798.919983,799.539978,793.02002,796.469971,1460300
2016-08-04,797.25,797.25,800.200012,793.919983,798.23999,1076000
2016-08-05,806.929993,806.929993,807.219971,797.809998,800.109985,1807300
2016-08-08,805.22998,805.22998,807.599976,801.690002,806.00,1221300
