date,adj_close,close,high,low,open,volume
2007-05-11,24.225637,30.889999,30.98,30.549999,30.57,43425300
2007-05-14,24.288378,30.969999,30.99,30.809999,30.84,70188500
2007-05-15,24.311981,30.90,31.09,30.84,30.90,75013900
2007-05-16,24.445736,31.07,31.09,30.809999,31.00,45833600
2007-05-17,24.374924,30.98,31.139999,30.959999,31.030001,41045600
2007-05-18,24.256905,30.83,30.99,30.58,30.969999,58453000
2007-05-21,24.43,31.049999,31.16,30.73,30.73,41836400
2007-05-22,24.146754,30.690001,30.93,30.66,30.90,39999500
2007-05-23,24.060206,30.58,30.84,30.57,30.84,46322500
2007-05-24,23.73762,30.17,30.799999,29.959999,30.540001,64046400
2007-05-25,23.981526,30.48,30.66,30.18,30.280001,47726500
2007-05-29,24.225434,30.790001,30.83,30.389999,30.49,42373100
2007-05-30,24.477208,31.110001,31.129999,30.51,30.549999,57376800
2007-05-31,24.146754,30.690001,31.16,30.610001,31.120001,85290500
2007-06-01,24.068074,30.59,30.90,30.549999,30.790001,39469400
2007-06-04,24.170357,30.719999,30.76,30.40,30.42,41434500
2007-06-05,24.060206,30.58,30.629999,30.33,30.620001,44265000
2007-06-06,23.832036,30.290001,30.530001,30.25,30.370001,38217500
2007-06-07,23.304883,29.620001,30.290001,29.59,30.02,71971400
2007-06-08,23.643204,30.049999,30.059999,29.41,29.58,61346200
2007-06-11,23.619601,30.02,30.25,29.93,29.940001,48467400
2007-06-12,23.485846,29.85,30.24,29.77,29.959999,56981800
2007-06-13,23.910715,30.389999,30.41,29.85,29.969999,64435600
2007-06-14,24.012999,30.52,30.709999,30.299999,30.35,59065700
2007-06-15,23.989395,30.49,30.879999,30.43,30.860001,100933000
2007-06-18,24.005131,30.51,30.719999,30.42,30.690001,45412600
2007-06-19,23.96579,30.459999,30.66,30.379999,30.48,46802600
2007-06-20,23.611733,30.01,30.51,29.959999,30.440001,46861600
2007-06-21,23.776959,30.219999,30.299999,29.91,29.98,56564800
2007-06-22,23.202599,29.49,30.10,29.450001,30.00,86219900
2007-06-25,23.202599,29.49,29.77,29.379999,29.469999,53905800
2007-06-26,23.226203,29.52,29.799999,29.50,29.549999,48340300
2007-06-27,23.501582,29.870001,29.950001,29.360001,29.360001,53468600
2007-06-28,23.47011,29.83,29.969999,29.68,29.860001,46055200
2007-06-29,23.186863,29.469999,29.93,29.040001,29.870001,71193900
2007-07-02,23.399298,29.74,29.799999,29.49,29.67,47316000
2007-07-03,23.619601,30.02,30.219999,29.780001,29.790001,35202600
2007-07-05,23.595997,29.99,30.219999,29.83,30.049999,47838500
2007-07-06,23.580261,29.969999,30.040001,29.66,29.91,57541000
2007-07-09,23.501582,29.870001,29.950001,29.809999,29.860001,33831400
2007-07-10,23.076712,29.33,29.99,29.18,29.700001,66013500
2007-07-11,23.202599,29.49,29.65,29.209999,29.24,48017000
2007-07-12,23.65894,30.07,30.110001,29.440001,29.559999,54302400
2007-07-13,23.462241,29.82,30.02,29.66,29.940001,42173000
2007-07-16,23.627469,30.030001,30.24,29.719999,29.76,48023200
2007-07-17,24.217566,30.780001,30.879999,30.01,30.02,77539600
2007-07-18,24.327717,30.92,30.969999,30.50,30.51,64414400
2007-07-19,24.791926,31.51,31.84,30.93,31.049999,121159300
2007-07-20,24.516548,31.16,31.200001,30.790001,31.15,98292600
2007-07-23,24.540152,31.190001,31.52,31.120001,31.360001,48910600
2007-07-24,24.233301,30.799999,31.48,30.709999,31.01,59729300
2007-07-25,24.162489,30.709999,31.299999,30.370001,30.99,54950100
2007-07-26,23.588129,29.98,30.530001,29.51,30.24,87025300
2007-07-27,23.123919,29.389999,30.00,29.360001,29.93,69214600
2007-07-30,23.131787,29.40,29.49,28.950001,29.41,67499600
2007-07-31,22.809201,28.99,29.719999,28.98,29.709999,66554000
2007-08-01,23.053107,29.299999,29.549999,28.82,28.950001,80006300
2007-08-02,23.226203,29.52,29.790001,29.02,29.190001,47938300
2007-08-03,22.785597,28.959999,29.780001,28.90,29.450001,61535500
2007-08-06,23.24194,29.540001,29.540001,28.75,29.049999,59530500
2007-08-07,23.249806,29.549999,29.790001,29.049999,29.33,49163000
2007-08-08,23.603865,30.00,30.01,29.209999,29.719999,52898600
2007-08-09,23.053107,29.299999,30.10,28.92,29.639999,72964500
2007-08-10,22.588898,28.709999,29.049999,28.26,28.90,76576200
2007-08-13,22.525954,28.629999,28.99,28.440001,28.940001,55492300
2007-08-14,22.320672,28.27,28.889999,28.200001,28.77,42944100
2007-08-15,22.186448,28.10,28.99,28.049999,28.24,48117700
2007-08-16,21.957476,27.809999,28.35,27.51,27.879999,81447400
2007-08-17,22.30488,28.25,28.25,27.82,28.09,76747700
2007-08-20,22.312776,28.26,28.49,28.08,28.18,49952000
2007-08-21,22.16276,28.07,28.32,27.870001,28.10,50786200
2007-08-22,22.281193,28.219999,28.32,28.01,28.27,44763500
2007-08-23,22.344357,28.299999,28.33,28.10,28.280001,33886600
2007-08-24,22.74703,28.809999,28.84,28.07,28.209999,45158900
2007-08-27,22.494373,28.49,28.77,28.40,28.610001,32789500
2007-08-28,22.052223,27.93,28.49,27.91,28.299999,43924400
2007-08-29,22.573329,28.59,28.610001,27.82,28.129999,45753700
2007-08-30,22.462792,28.450001,28.93,28.32,28.42,33690700
2007-08-31,22.683866,28.73,28.92,28.360001,28.700001,42511900
2007-09-04,22.74703,28.809999,29.10,28.48,28.50,45689600
2007-09-05,22.486477,28.48,28.73,28.42,28.65,47669800
2007-09-06,22.825985,28.91,29.01,28.549999,28.559999,45430800
2007-09-07,22.454896,28.440001,28.83,28.32,28.620001,52160900
2007-09-10,22.486477,28.48,28.75,28.41,28.67,37247600
2007-09-11,22.841777,28.93,28.950001,28.58,28.629999,34380800
2007-09-12,22.841777,28.93,29.17,28.799999,28.809999,42364700
2007-09-13,23.023374,29.16,29.26,28.959999,29.120001,35288600
2007-09-14,22.928628,29.040001,29.110001,28.879999,28.98,33496600
2007-09-17,22.683866,28.73,28.879999,28.620001,28.790001,39536500
2007-09-18,22.841777,28.93,28.969999,28.27,28.700001,77462400
2007-09-19,22.636493,28.67,28.91,28.299999,28.870001,94242200
2007-09-20,22.439104,28.42,28.58,28.34,28.48,67168900
2007-09-21,22.620701,28.65,28.809999,28.440001,28.690001,135636100
2007-09-24,22.960209,29.08,29.610001,28.799999,28.809999,104459800
2007-09-25,23.339195,29.559999,29.559999,29.110001,29.139999,75621000
2007-09-26,23.291822,29.50,29.85,29.48,29.68,60337000
2007-09-27,23.283926,29.49,29.719999,29.440001,29.700001,43407100
2007-09-28,23.260239,29.459999,29.690001,29.23,29.49,45819100
2007-10-01,23.505002,29.77,29.790001,29.41,29.459999,43875100
2007-10-02,23.449733,29.700001,29.85,29.57,29.700001,33700900
2007-10-03,23.252345,29.450001,29.85,29.290001,29.709999,37633900
