date,adj_close,close,high,low,open,volume
2007-05-11,85.287113,105.980003,105.989998,104.669998,104.690002,6026100
2007-05-14,84.957164,105.57,106.25,104.790001,105.809998,5732600
2007-05-15,84.361653,104.830002,105.800003,104.699997,105.400002,6104200
2007-05-16,85.198591,105.870003,105.889999,104.529999,105.099998,5613500
2007-05-17,84.747928,105.309998,106.230003,104.730003,105.610001,7706400
2007-05-18,86.904651,107.989998,108.050003,105.599998,105.839996,9857500
2007-05-21,86.140144,107.040001,108.00,106.870003,107.669998,7512200
2007-05-22,85.866526,106.699997,107.25,106.010002,106.949997,5313300
2007-05-23,84.965213,105.580002,107.00,105.25,106.800003,4396900
2007-05-24,83.653471,103.949997,105.980003,103.57,105.449997,6926300
2007-05-25,84.643313,105.18,105.43,103.849998,103.900002,6123000
2007-05-29,85.230781,105.910004,106.629997,105.300003,105.57,5420300
2007-05-30,86.051621,106.93,107.099998,105.209999,105.400002,7401000
2007-05-31,85.786053,106.599998,107.669998,106.00,107.260002,5097700
2007-06-01,85.73777,106.540001,107.239998,106.019997,106.620003,5289200
2007-06-04,85.4883,106.230003,106.589996,105.580002,106.50,4569900
2007-06-05,85.174443,105.839996,106.550003,105.540001,106.550003,5244200
2007-06-06,82.414166,102.410004,105.510002,102.389999,105.50,30770700
2007-06-07,81.92327,101.800003,103.169998,101.559998,102.459999,14384600
2007-06-08,82.945296,103.07,103.209999,101.75,101.800003,8216300
2007-06-11,83.066009,103.220001,104.00,102.50,102.870003,7903100
2007-06-12,82.357828,102.339996,103.18,102.150002,103.110001,5578400
2007-06-13,82.985536,103.120003,103.260002,102.099998,102.849998,6437600
2007-06-14,83.572998,103.849998,104.239998,102.809998,103.099998,5165600
2007-06-15,84.570883,105.089996,105.190002,103.879997,104.220001,9432300
2007-06-18,84.764027,105.330002,105.650002,104.889999,105.269997,6359200
2007-06-19,85.705579,106.50,106.660004,104.900002,104.93,5754000
2007-06-20,85.303206,106.00,107.019997,105.949997,106.50,6541500
2007-06-21,85.786053,106.599998,107.00,105.610001,105.769997,5587800
2007-06-22,84.047802,104.440002,106.440002,104.440002,105.959999,10808500
2007-06-25,84.578932,105.099998,105.769997,104.50,104.730003,8476400
2007-06-26,84.764027,105.330002,106.059998,104.82,105.099998,5229600
2007-06-27,84.8445,105.43,105.470001,104.400002,104.75,5403800
2007-06-28,85.262966,105.949997,106.919998,105.220001,105.519997,5430900
2007-06-29,84.699645,105.25,106.580002,104.099998,105.959999,7018400
2007-07-02,84.506508,105.010002,105.800003,104.580002,105.389999,4701300
2007-07-03,85.769961,106.580002,107.080002,105.239998,105.50,4217900
2007-07-05,86.95294,108.050003,108.389999,105.980003,106.309998,6670900
2007-07-06,87.741589,109.029999,109.660004,107.660004,107.790001,8977200
2007-07-09,87.693306,108.970001,109.349998,108.199997,108.730003,6046300
2007-07-10,87.419689,108.629997,109.150002,108.25,108.550003,6209300
2007-07-11,87.797921,109.099998,109.599998,108.25,108.300003,5887800
2007-07-12,87.942776,109.279999,109.650002,108.220001,109.349998,9544100
2007-07-13,87.395547,108.599998,109.199997,108.099998,108.75,7124100
2007-07-16,88.248584,109.660004,110.040001,108.419998,108.57,8864200
2007-07-17,89.141847,110.769997,111.470001,109.449997,109.660004,7619900
2007-07-18,89.391323,111.080002,111.879997,110.040001,110.25,10154100
2007-07-19,93.238014,115.860001,116.480003,114.650002,115.00,17281600
2007-07-20,92.393027,114.809998,115.860001,113.940002,114.849998,11706300
2007-07-23,93.65648,116.379997,116.43,114.849998,114.879997,8040900
2007-07-24,93.487484,116.169998,117.00,115.019997,115.32,10499300
2007-07-25,95.040646,118.099998,118.379997,115.239998,116.190002,11340000
2007-07-26,93.777193,116.529999,118.82,115.519997,117.010002,16822100
2007-07-27,93.044876,115.620003,117.949997,115.620003,116.620003,18138700
2007-07-30,92.159649,114.519997,115.75,113.519997,115.00,15095400
2007-07-31,89.045282,110.650002,114.720001,110.019997,114.720001,17816200
2007-08-01,90.16388,112.040001,112.730003,110.059998,110.389999,12390300
2007-08-02,91.121531,113.230003,114.050003,111.50,112.099998,11318900
2007-08-03,90.043166,111.889999,114.18,111.699997,113.239998,9571300
2007-08-06,91.652661,113.889999,113.889999,111.699997,111.970001,7245500
2007-08-07,91.362951,113.529999,114.169998,112.25,113.019997,8021400
2007-08-08,91.241818,112.980003,114.599998,112.260002,114.300003,7681400
2007-08-09,89.424735,110.730003,114.489998,110.730003,110.769997,9086000
2007-08-10,90.967233,112.639999,113.50,109.699997,109.75,9592200
2007-08-13,91.023765,112.709999,113.949997,112.309998,112.989998,6135500
2007-08-14,90.490757,112.050003,113.150002,111.739998,112.830002,5615600
2007-08-15,89.828531,111.230003,112.849998,109.910004,111.00,11640200
2007-08-16,88.584838,109.690002,111.419998,103.699997,110.980003,16723000
2007-08-17,89.562024,110.900002,112.669998,108.660004,111.870003,15274600
2007-08-20,88.205268,109.220001,111.099998,109.129997,110.900002,9839800
2007-08-21,88.059901,109.040001,110.110001,108.080002,108.900002,8458500
2007-08-22,88.835189,110.00,110.50,109.150002,110.089996,6329700
2007-08-23,90.006196,111.449997,111.68,110.010002,110.400002,8271000
2007-08-24,91.451788,113.239998,113.25,110.809998,111.449997,7058700
2007-08-27,91.61331,113.440002,113.849998,112.800003,113.00,4921800
2007-08-28,90.450375,112.00,113.589996,111.629997,112.900002,6006600
2007-08-29,92.525887,114.57,114.980003,112.07,112.879997,7049800
2007-08-30,93.171964,115.370003,116.00,113.620003,113.620003,7756100
2007-08-31,94.237986,116.690002,117.349998,115.550003,115.989998,6883600
