date,adj_close,close,high,low,open,volume
2016-05-09,48.786888,50.07,50.59,50.00,50.490002,17951600
2016-05-10,49.712543,51.02,51.099998,50.189999,50.330002,22891000
2016-05-11,49.741774,51.049999,51.779999,51.00,51.130001,24039100
2016-05-12,50.189984,51.509998,51.810001,50.919998,51.200001,24102800
2016-05-13,49.771007,51.080002,51.900002,51.040001,51.439999,22592300
2016-05-16,50.501787,51.830002,51.959999,50.75,50.799999,20032000
2016-05-17,49.559843,50.509998,51.73,50.360001,51.720001,27803500
2016-05-18,49.854203,50.810001,51.139999,50.299999,50.48,24907500
2016-05-19,49.373419,50.32,50.619999,49.82,50.470001,23842400
2016-05-20,49.667775,50.619999,51.220001,50.400002,50.48,23905800
2016-05-23,49.088873,50.029999,50.68,49.98,50.599998,26118700
2016-05-24,50.619529,51.59,51.709999,50.400002,50.700001,34757900
2016-05-25,51.139558,52.119999,52.490002,51.790001,51.919998,24040200
2016-05-26,50.913885,51.889999,51.98,51.360001,51.93,24335200
2016-05-27,51.335796,52.32,52.32,51.77,51.919998,17653700
2016-05-31,52.003005,53.00,53.00,52.080002,52.259998,37653100
2016-06-01,51.855825,52.849998,52.950001,52.439999,52.439999,25324800
2016-06-02,51.492786,52.48,52.740002,51.84,52.639999,22840800
2016-06-03,50.815768,51.790001,52.419998,51.599998,52.380001,23081300
2016-06-06,51.149372,52.130001,52.349998,51.889999,51.990002,18243300
2016-06-07,51.119934,52.099998,52.73,52.099998,52.240002,20866800
2016-06-08,51.061065,52.040001,52.439999,51.869999,52.02,21149400
2016-06-09,50.648963,51.619999,52.00,51.490002,52.00,20305700
2016-06-10,50.511598,51.48,52.049999,51.040001,51.049999,25833200
2016-06-13,49.196805,50.139999,50.720001,49.060001,49.580002,83217800
2016-06-14,48.892638,49.830002,50.099998,49.57,49.900002,42577100
2016-06-15,48.755269,49.689999,50.119999,49.689999,49.779999,33757600
2016-06-16,49.442102,50.389999,50.470001,49.509998,49.52,31188600
2016-06-17,49.186994,50.130001,50.43,49.82,50.41,45710500
2016-06-20,49.128122,50.07,50.830002,50.029999,50.639999,35607900
2016-06-21,50.227052,51.189999,51.43,50.16,50.200001,34097800
2016-06-22,50.030817,50.990002,51.459999,50.950001,51.080002,28816800
2016-06-23,50.933509,51.91,52.060001,51.150002,51.279999,29028800
